"Program","Year","Schedule","Period","University","N-Surveys","N-Employed","%-Employed"
"HUM",2013,"All","All","WES",314,,
"HUM",2013,"All",6,"WES",,,.904761904761905
"HUM",2013,"All",24,"WES",,,.947368421052632
"HUM",2013,"All","All","WLA",289,,
"HUM",2013,"All",6,"WLA",,,.899038461538462
"HUM",2013,"All",24,"WLA",,,.932584269662921
"HUM",2013,"All","All","WIN",93,,
"HUM",2013,"All",6,"WIN",,,.848101265822785
"HUM",2013,"All",24,"WIN",,,.880952380952381
"HUM",2013,"All","All","YOR",580,,
"HUM",2013,"All",6,"YOR",,,.831622176591376
"HUM",2013,"All",24,"YOR",,,.893822393822394
"HUM",2013,"FT",6,"All",,1693,.59612676056338
"HUM",2013,"PT",6,"All",,788,.277464788732394
"HUM",2013,"FT",24,"All",,2224,.696960200564086
"HUM",2013,"PT",24,"All",,704,.220620495142589
"JOU",2013,"All","All","CAR",40,,
"JOU",2013,"All",6,"CAR",,,.972222222222222
"JOU",2013,"All",24,"CAR",,,.948717948717949
"JOU",2013,"All","All","RYE",50,,
"JOU",2013,"All",6,"RYE",,,.822222222222222
"JOU",2013,"All",24,"RYE",,,.866666666666667
"JOU",2013,"All","All","WLA",26,,
"JOU",2013,"All",6,"WLA",,,.619047619047619
"JOU",2013,"All",24,"WLA",,,.869565217391304
"JOU",2013,"FT",6,"All",,74,.637931034482759
"JOU",2013,"PT",6,"All",,21,.181034482758621
"JOU",2013,"FT",24,"All",,87,.725
"JOU",2013,"PT",24,"All",,21,.175
"KRP",2013,"All","All","BRO",173,,
"KRP",2013,"All",6,"BRO",,,.91304347826087
"KRP",2013,"All",24,"BRO",,,.958620689655172
"KRP",2013,"All","All","GUE",128,,
"KRP",2013,"All",6,"GUE",,,.932432432432432
"KRP",2013,"All",24,"GUE",,,.930555555555556
"KRP",2013,"All","All","LAK",67,,
"KRP",2013,"All",6,"LAK",,,.9375
"KRP",2013,"All",24,"LAK",,,.888888888888889
"KRP",2013,"All","All","LAU",39,,
"KRP",2013,"All",6,"LAU",,,.96
"KRP",2013,"All",24,"LAU",,,.931034482758621
"KRP",2013,"All","All","MCM",122,,
"KRP",2013,"All",6,"MCM",,,.96551724137931
"KRP",2013,"All",24,"MCM",,,.885714285714286
"KRP",2013,"All","All","NIP",36,,
"KRP",2013,"All",6,"NIP",,,.962962962962963
"KRP",2013,"All",24,"NIP",,,1
"KRP",2013,"All","All","OTT",103,,
"KRP",2013,"All",6,"OTT",,,.931506849315068
"KRP",2013,"All",24,"OTT",,,.901234567901235
"KRP",2013,"All","All","QUE",49,,
"KRP",2013,"All",6,"QUE",,,.9
"KRP",2013,"All",24,"QUE",,,.914285714285714
"KRP",2013,"All","All","TOR",41,,
"KRP",2013,"All",6,"TOR",,,.863636363636364
"KRP",2013,"All",24,"TOR",,,.821428571428571
