"School","Year","Level","Metric","Value","Headcount"
"QUE","14-15","U","Age","40-44",39
"QUE","15-16","G","Age","40-44",181
"QUE","15-16","U","Age","40-44",42
"QUE","12-13","G","Age","45-49",92
"QUE","12-13","U","Age","45-49",27
"QUE","13-14","G","Age","45-49",94
"QUE","13-14","U","Age","45-49",19
"QUE","14-15","G","Age","45-49",101
"QUE","14-15","U","Age","45-49",21
"QUE","15-16","G","Age","45-49",105
"QUE","15-16","U","Age","45-49",18
"QUE","12-13","G","Age","50-54",53
"QUE","12-13","U","Age","50-54",13
"QUE","13-14","G","Age","50-54",48
"QUE","14-15","G","Age","50-54",50
"QUE","15-16","G","Age","50-54",54
"QUE","15-16","U","Age","50-54",11
"QUE","12-13","G","Age","55-59",18
"QUE","13-14","G","Age","55-59",21
"QUE","14-15","G","Age","55-59",21
"QUE","15-16","G","Age","55-59",27
"QUE","12-13","G","Age","60+",14
"QUE","13-14","G","Age","60+",13
"QUE","14-15","G","Age","60+",18
"QUE","15-16","G","Age","60+",14
"RYE","12-13","U","Age","0-17",54
"RYE","13-14","U","Age","0-17",58
"RYE","14-15","U","Age","0-17",56
"RYE","15-16","U","Age","0-17",63
"RYE","12-13","U","Age","18-19",7693
"RYE","13-14","U","Age","18-19",8593
"RYE","14-15","U","Age","18-19",9836
"RYE","15-16","U","Age","18-19",10281
"RYE","12-13","G","Age","20-24",545
"RYE","12-13","U","Age","20-24",10775
