"AcademicYear","University","Question","StudentYear","Score","Percentage"
2011,"TMI","Q1","Sr","S0",.075
2011,"TSC","Q1","Sr","S3",.252
2011,"TSC","Q1","Sr","S2",.484
2011,"TSC","Q1","Sr","S1",.195
2011,"TSC","Q1","Sr","S0",.069
2011,"TRE","Q1","Sr","S3",.418
2011,"TRE","Q1","Sr","S2",.455
2011,"TRE","Q1","Sr","S1",.106
2011,"TRE","Q1","Sr","S0",.021
2011,"WAT","Q1","Sr","S3",.32
2011,"WAT","Q1","Sr","S2",.47
2011,"WAT","Q1","Sr","S1",.15
2011,"WAT","Q1","Sr","S0",.06
2011,"WMC","Q1","Sr","S3",.43
2011,"WMC","Q1","Sr","S2",.43
2011,"WMC","Q1","Sr","S1",.12
2011,"WMC","Q1","Sr","S0",.02
2011,"WBC","Q1","Sr","S3",.63
2011,"WBC","Q1","Sr","S2",.33
2011,"WBC","Q1","Sr","S1",.04
2011,"WHC","Q1","Sr","S3",.72
2011,"WHC","Q1","Sr","S2",.24
2011,"WHC","Q1","Sr","S1",.03
2011,"WHC","Q1","Sr","S0",.01
2011,"WKC","Q1","Sr","S3",.54
2011,"WKC","Q1","Sr","S2",.39
2011,"WKC","Q1","Sr","S1",.06
2011,"WKC","Q1","Sr","S0",.01
2011,"WLA","Q1","Sr","S3",.38
2011,"WLA","Q1","Sr","S2",.47
2011,"WLA","Q1","Sr","S1",.12
2011,"WLA","Q1","Sr","S0",.03
2011,"WIN","Q1","Sr","S3",.25
2011,"WIN","Q1","Sr","S2",.53
2011,"WIN","Q1","Sr","S1",.19
2011,"WIN","Q1","Sr","S0",.03
2011,"YOR","Q1","Sr","S3",.224
2011,"YOR","Q1","Sr","S2",.414
2011,"YOR","Q1","Sr","S1",.237
2011,"YOR","Q1","Sr","S0",.125
2008,"BRO","Q1","Sr","S3",.295
2008,"BRO","Q1","Sr","S2",.543
2008,"BRO","Q1","Sr","S1",.128
2008,"BRO","Q1","Sr","S0",.033
2008,"CAR","Q1","Sr","S3",.255
2008,"CAR","Q1","Sr","S2",.545
2008,"CAR","Q1","Sr","S1",.167
2008,"CAR","Q1","Sr","S0",.032
2008,"GUE","Q1","Sr","S3",.46
2008,"GUE","Q1","Sr","S2",.43
2008,"GUE","Q1","Sr","S1",.09
2008,"GUE","Q1","Sr","S0",.02
2008,"LAK","Q1","Sr","S3",.22
2008,"LAK","Q1","Sr","S2",.5
2008,"LAK","Q1","Sr","S1",.24
2008,"LAK","Q1","Sr","S0",.04
2008,"LAU","Q1","Sr","S3",.21
2008,"LAU","Q1","Sr","S2",.55
2008,"LAU","Q1","Sr","S1",.18
2008,"LAU","Q1","Sr","S0",.07
2008,"MCM","Q1","Sr","S3",.34
2008,"MCM","Q1","Sr","S2",.5
2008,"MCM","Q1","Sr","S1",.13
2008,"MCM","Q1","Sr","S0",.04
2008,"NIP","Q1","Sr","S3",.46
2008,"NIP","Q1","Sr","S2",.44
2008,"NIP","Q1","Sr","S1",.09
2008,"NIP","Q1","Sr","S0",.01
2008,"OCA","Q1","Sr","S3",.168
2008,"OCA","Q1","Sr","S2",.487
2008,"OCA","Q1","Sr","S1",.292
2008,"OCA","Q1","Sr","S0",.053
2008,"OTT","Q1","Sr","S3",.11
2008,"OTT","Q1","Sr","S2",.55
2008,"OTT","Q1","Sr","S1",.27
2008,"OTT","Q1","Sr","S0",.07
2008,"UOI","Q1","Sr","S3",.35
2008,"UOI","Q1","Sr","S2",.47
2008,"UOI","Q1","Sr","S1",.15
2008,"UOI","Q1","Sr","S0",.02
