"Year","University","Subject","Metric","OSSD","Count"
2015,"BRO","MUS","AA","N",10
2015,"BRO","MUS","RA","Y",6
2015,"BRO","NUR","A1","Y",157
2015,"BRO","NUR","A1","N",53
2015,"BRO","NUR","R1","Y",31
2015,"BRO","NUR","R1","N",6
2015,"BRO","NUR","AA","Y",855
2015,"BRO","NUR","AA","N",188
2015,"BRO","NUR","RA","Y",65
2015,"BRO","NUR","RA","N",10
2015,"BRO","DPR","A1","N",6
2015,"BRO","DPR","R1","N",9
2015,"BRO","DPR","AA","N",8
2015,"BRO","DPR","RA","N",9
2014,"BRO","AHS","A1","Y",1369
2014,"BRO","AHS","A1","N",370
2014,"BRO","AHS","R1","Y",775
2014,"BRO","AHS","R1","N",146
2014,"BRO","AHS","AA","Y",6583
2014,"BRO","AHS","AA","N",1207
2014,"BRO","AHS","RA","Y",1397
2014,"BRO","AHS","RA","N",216
2014,"BRO","SCI","A1","Y",307
2014,"BRO","SCI","A1","N",128
2014,"BRO","SCI","R1","Y",171
2014,"BRO","SCI","R1","N",28
2014,"BRO","SCI","AA","Y",2230
2014,"BRO","SCI","AA","N",503
2014,"BRO","SCI","RA","Y",406
2014,"BRO","SCI","RA","N",50
2014,"BRO","CMB","A1","Y",546
2014,"BRO","CMB","A1","N",177
2014,"BRO","CMB","R1","Y",213
2014,"BRO","CMB","R1","N",36
2014,"BRO","CMB","AA","Y",3502
2014,"BRO","CMB","AA","N",647
2014,"BRO","CMB","RA","Y",527
2014,"BRO","CMB","RA","N",61
2014,"BRO","PHE","A1","Y",708
2014,"BRO","PHE","A1","N",268
2014,"BRO","PHE","R1","Y",298
2014,"BRO","PHE","R1","N",51
2014,"BRO","PHE","AA","Y",2762
2014,"BRO","PHE","AA","N",593
2014,"BRO","PHE","RA","Y",497
2014,"BRO","PHE","RA","N",74
2014,"BRO","FAA","A1","Y",87
2014,"BRO","FAA","A1","N",34
2014,"BRO","FAA","R1","Y",43
2014,"BRO","FAA","R1","N",17
2014,"BRO","FAA","AA","Y",414
2014,"BRO","FAA","AA","N",89
2014,"BRO","FAA","RA","Y",87
2014,"BRO","FAA","RA","N",18
2014,"BRO","MUS","A1","Y",9
2014,"BRO","MUS","A1","N",6
2014,"BRO","MUS","R1","Y",6
2014,"BRO","MUS","AA","Y",61
2014,"BRO","MUS","AA","N",12
2014,"BRO","MUS","RA","Y",8
2014,"BRO","MUS","RA","N",6
2014,"BRO","NUR","A1","Y",183
2014,"BRO","NUR","A1","N",50
2014,"BRO","NUR","R1","Y",29
2014,"BRO","NUR","R1","N",6
2014,"BRO","NUR","AA","Y",818
2014,"BRO","NUR","AA","N",163
2014,"BRO","NUR","RA","Y",50
2014,"BRO","NUR","RA","N",12
2014,"BRO","DPR","A1","N",12
2014,"BRO","DPR","R1","N",18
2014,"BRO","DPR","AA","N",15
2014,"BRO","DPR","RA","N",18
2013,"BRO","AHS","A1","Y",1450
2013,"BRO","AHS","A1","N",373
2013,"BRO","AHS","R1","Y",826
2013,"BRO","AHS","R1","N",124
2013,"BRO","AHS","AA","Y",7007
2013,"BRO","AHS","AA","N",1274
2013,"BRO","AHS","RA","Y",1458
2013,"BRO","AHS","RA","N",202
2013,"BRO","SCI","A1","Y",289
2013,"BRO","SCI","A1","N",143
2013,"BRO","SCI","R1","Y",159
2013,"BRO","SCI","R1","N",34
2013,"BRO","SCI","AA","Y",2159
2013,"BRO","SCI","AA","N",478
2013,"BRO","SCI","RA","Y",409
2013,"BRO","SCI","RA","N",55
2013,"BRO","CMB","A1","Y",601
2013,"BRO","CMB","A1","N",199
2013,"BRO","CMB","R1","Y",234
2013,"BRO","CMB","R1","N",28
2013,"BRO","CMB","AA","Y",3576
2013,"BRO","CMB","AA","N",651
2013,"BRO","CMB","RA","Y",514
2013,"BRO","CMB","RA","N",50
2013,"BRO","PHE","A1","Y",673
2013,"BRO","PHE","A1","N",191
2013,"BRO","PHE","R1","Y",321
2013,"BRO","PHE","R1","N",44
2013,"BRO","PHE","AA","Y",2796
2013,"BRO","PHE","AA","N",466
2013,"BRO","PHE","RA","Y",589
2013,"BRO","PHE","RA","N",57
2013,"BRO","FAA","A1","Y",97
2013,"BRO","FAA","A1","N",34
2013,"BRO","FAA","R1","Y",49
2013,"BRO","FAA","R1","N",13
2013,"BRO","FAA","AA","Y",463
2013,"BRO","FAA","AA","N",101
2013,"BRO","FAA","RA","Y",85
2013,"BRO","FAA","RA","N",19
2013,"BRO","MUS","A1","Y",11
2013,"BRO","MUS","AA","Y",53
2013,"BRO","MUS","AA","N",12
2013,"BRO","MUS","RA","Y",8
2013,"BRO","NUR","A1","Y",181
2013,"BRO","NUR","A1","N",40
2013,"BRO","NUR","R1","Y",30
2013,"BRO","NUR","R1","N",7
2013,"BRO","NUR","AA","Y",903
2013,"BRO","NUR","AA","N",148
2013,"BRO","NUR","RA","Y",57
2013,"BRO","NUR","RA","N",8
2013,"BRO","DPR","A1","N",14
2013,"BRO","DPR","R1","N",21
2013,"BRO","DPR","AA","N",18
2013,"BRO","DPR","RA","N",22
2012,"BRO","AHS","A1","Y",1484
2012,"BRO","AHS","A1","N",399
2012,"BRO","AHS","R1","Y",837
2012,"BRO","AHS","R1","N",154
2012,"BRO","AHS","AA","Y",7073
2012,"BRO","AHS","AA","N",1320
2012,"BRO","AHS","RA","Y",1493
2012,"BRO","AHS","RA","N",252
2012,"BRO","SCI","A1","Y",277
2012,"BRO","SCI","A1","N",123
2012,"BRO","SCI","R1","Y",150
2012,"BRO","SCI","R1","N",27
2012,"BRO","SCI","AA","Y",2008
2012,"BRO","SCI","AA","N",467
2012,"BRO","SCI","RA","Y",390
2012,"BRO","SCI","RA","N",53
2012,"BRO","CMB","A1","Y",470
2012,"BRO","CMB","A1","N",180
2012,"BRO","CMB","R1","Y",224
2012,"BRO","CMB","R1","N",22
2012,"BRO","CMB","AA","Y",2992
2012,"BRO","CMB","AA","N",585
2012,"BRO","CMB","RA","Y",508
2012,"BRO","CMB","RA","N",48
2012,"BRO","PHE","A1","Y",709
2012,"BRO","PHE","A1","N",212
2012,"BRO","PHE","R1","Y",272
2012,"BRO","PHE","R1","N",40
2012,"BRO","PHE","AA","Y",2898
2012,"BRO","PHE","AA","N",501
2012,"BRO","PHE","RA","Y",500
2012,"BRO","PHE","RA","N",56
2012,"BRO","FAA","A1","Y",111
2012,"BRO","FAA","A1","N",30
2012,"BRO","FAA","R1","Y",53
2012,"BRO","FAA","R1","N",10
2012,"BRO","FAA","AA","Y",507
2012,"BRO","FAA","AA","N",112
2012,"BRO","FAA","RA","Y",113
2012,"BRO","FAA","RA","N",20
2012,"BRO","MUS","A1","Y",8
2012,"BRO","MUS","A1","N",8
2012,"BRO","MUS","R1","Y",7
2012,"BRO","MUS","R1","N",5
2012,"BRO","MUS","AA","Y",48
2012,"BRO","MUS","AA","N",17
2012,"BRO","MUS","RA","Y",11
2012,"BRO","MUS","RA","N",5
2012,"BRO","NUR","A1","Y",137
2012,"BRO","NUR","A1","N",67
2012,"BRO","NUR","R1","Y",29
2012,"BRO","NUR","R1","N",3
2012,"BRO","NUR","AA","Y",714
2012,"BRO","NUR","AA","N",204
2012,"BRO","NUR","RA","Y",72
2012,"BRO","NUR","RA","N",4
2012,"BRO","DPR","R1","N",12
2012,"BRO","DPR","RA","N",12
2011,"BRO","AHS","A1","Y",1430
2011,"BRO","AHS","A1","N",448
2011,"BRO","AHS","R1","Y",791
2011,"BRO","AHS","R1","N",245
2011,"BRO","AHS","AA","Y",6849
2011,"BRO","AHS","AA","N",1464
