"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E8","LFO","55+","M",41.9
2001,"E8","LFO","55+","F",25.7
2001,"E8","LFO","55-64","M",36.2
2001,"E8","LFO","55-64","F",22.5
2001,"E8","EFT","15-24","M",17.7
2001,"E8","EFT","15-24","F",24.7
2001,"E8","EFT","25-34","M",131.6
2001,"E8","EFT","25-34","F",123.8
2001,"E8","EFT","55+","M",33.6
2001,"E8","EFT","55+","F",16.5
2001,"E8","EFT","55-64","M",30.5
2001,"E8","EFT","55-64","F",15.4
2001,"E8","EPT","15-24","M",3.2
2001,"E8","EPT","15-24","F",8
2001,"E8","EPT","25-34","M",5.9
2001,"E8","EPT","25-34","F",20.7
2001,"E8","EPT","55+","M",6.7
2001,"E8","EPT","55+","F",8.3
2001,"E8","EPT","55-64","M",4.2
2001,"E8","EPT","55-64","F",6.3
2001,"E8","UNE","15-24","M",1.9
2001,"E8","UNE","15-24","F",2.2
2001,"E8","UNE","25-34","M",9.1
2001,"E8","UNE","25-34","F",9.1
2001,"E8","UNE","55+","M",1.7
2001,"E8","UNE","55-64","M",1.5
2001,"E8","NLF","15-24","M",4.9
2001,"E8","NLF","15-24","F",8.7
2001,"E8","NLF","25-34","M",10.1
2001,"E8","NLF","25-34","F",23.3
2001,"E8","NLF","55+","M",54.4
2001,"E8","NLF","55+","F",44.8
2001,"E8","NLF","55-64","M",20.1
2001,"E8","NLF","55-64","F",21.9
2001,"E8","URT","15-24","M",8.3
2001,"E8","URT","15-24","F",6.3
2001,"E8","URT","25-34","M",6.2
2001,"E8","URT","25-34","F",5.9
2001,"E8","URT","55+","M",4.1
2001,"E8","URT","55-64","M",4.1
2001,"E8","PRT","15-24","M",82.7
2001,"E8","PRT","15-24","F",80
2001,"E8","PRT","25-34","M",93.6
2001,"E8","PRT","25-34","F",86.8
2001,"E8","PRT","55+","M",43.5
2001,"E8","PRT","55+","F",36.5
2001,"E8","PRT","55-64","M",64.3
2001,"E8","PRT","55-64","F",50.7
2001,"E8","ERT","15-24","M",75.8
2001,"E8","ERT","15-24","F",75
2001,"E8","ERT","25-34","M",87.7
2001,"E8","ERT","25-34","F",81.7
2001,"E8","ERT","55+","M",41.8
2001,"E8","ERT","55+","F",35.2
2001,"E8","ERT","55-64","M",61.6
2001,"E8","ERT","55-64","F",48.9
2001,"E9","LFO","15-24","M",3.5
2001,"E9","LFO","15-24","F",6.5
2001,"E9","LFO","25-34","M",64.6
2001,"E9","LFO","25-34","F",65.1
2001,"E9","LFO","55+","M",48.7
2001,"E9","LFO","55+","F",18.3
2001,"E9","LFO","55-64","M",40.6
2001,"E9","LFO","55-64","F",15.7
2001,"E9","EFT","15-24","M",1.9
2001,"E9","EFT","15-24","F",4.8
2001,"E9","EFT","25-34","M",58.9
2001,"E9","EFT","25-34","F",53.6
2001,"E9","EFT","55+","M",39.2
2001,"E9","EFT","55+","F",11.9
2001,"E9","EFT","55-64","M",34.6
2001,"E9","EFT","55-64","F",11.1
2001,"E9","EPT","25-34","M",2.7
2001,"E9","EPT","25-34","F",9.4
2001,"E9","EPT","55+","M",7.7
